Date,TQQQ,max,drawdown,daily_return,stock1_normalized
2020-11-23,83400.377165912,100872.26207291619,-0.17320802119391873,0.00020793497198634547,83400.377165912
2020-11-24,86810.3681973528,100872.26207291619,-0.13940297943748553,0.04088699772492821,86810.3681973528
2020-11-25,88446.01071362861,100872.26207291619,-0.12318799146493986,0.018841557180789392,88446.01071362861
2020-11-27,90861.90974985129,100872.26207291619,-0.09923790859204536,0.027314957641729087,90861.90974985129
2020-11-30,91330.06013419988,100872.26207291619,-0.09459688662299114,0.005152328248849702,91330.06013419988
2020-12-01,94919.21896023843,100872.26207291619,-0.0590156599083161,0.03929876779632746,94919.21896023843
2020-12-02,95300.67809528128,100872.26207291619,-0.05523405407135061,0.004018776589413742,95300.67809528128
2020-12-03,95687.91370726161,100872.26207291619,-0.051395182968208164,0.004063303847567257,95687.91370726161
2020-12-04,96861.18231612627,100872.26207291619,-0.03976395169854006,0.012261408608552626,96861.18231612627
2020-12-07,98502.60130933954,100872.26207291619,-0.02349169845981759,0.016946097022191742,98502.60130933954
2020-12-08,99404.23439736321,100872.26207291619,-0.014553333546657296,0.009153393677311605,99404.23439736321
2020-12-09,92746.07306016942,100872.26207291619,-0.08055920275558699,-0.06698066111125744,92746.07306016942
2020-12-10,93884.66516931177,100872.26207291619,-0.06927173793875446,0.012276445477143572,93884.66516931177
2020-12-11,93225.78521744172,100872.26207291619,-0.07580356282629172,-0.007017972005138762,93225.78521744172
2020-12-14,95213.98684597554,100872.26207291619,-0.05609347020343934,0.021326735129090002,95213.98684597554
2020-12-15,98173.16574292889,100872.26207291619,-0.02675756718964265,0.031079245759767504,98173.16574292889
2020-12-16,99820.37003212838,100872.26207291619,-0.010427961256856081,0.016778559362267798,99820.37003212838
2020-12-17,101866.36288718313,101866.36288718313,0.0,0.020496746850329428,101866.36288718313
2020-12-18,100756.67080082561,101866.36288718313,-0.010893606632313986,-0.010893606632313979,100756.67080082561
2020-12-21,100380.98814272022,101866.36288718313,-0.014581601839539144,-0.003728613253290547,100380.98814272022
2020-12-22,101172.80643559077,101866.36288718313,-0.006808493323360081,0.007888130088386403,101172.80643559077
2020-12-23,99646.9787144681,101866.36288718313,-0.02178721326462783,-0.015081401563117103,99646.9787144681
2020-12-24,100941.61507236082,101866.36288718313,-0.0090780488142732,0.012992228912453108,100941.61507236082
2020-12-28,103970.15578780753,103970.15578780753,0.0,0.030002895369523053,103970.15578780753
2020-12-29,104276.47662741954,104276.47662741954,0.0,0.0029462381516209835,104276.47662741954
2020-12-30,104259.1383775584,104276.47662741954,-0.00016627191886331173,-0.00016627191886331438,104259.1383775584
2020-12-31,105074.07139722757,105074.07139722757,0.0,0.007816418132269742,105074.07139722757
2021-01-04,100479.24998399841,105074.07139722757,-0.04372935541689116,-0.04372935541689116,100479.24998399841
2021-01-05,102999.17851938798,105074.07139722757,-0.01974695422237479,0.025079093800868035,102999.17851938798
2021-01-06,98739.56914950695,105074.07139722757,-0.060286064520840114,-0.04135576061006374,98739.56914950695
2021-01-07,105871.65734798682,105871.65734798682,0.0,0.07223130767039088,105871.65734798682
2021-01-08,109975.21365006875,109975.21365006875,0.0,0.03875972479200973,109975.21365006875
2021-01-11,105114.52437388735,109975.21365006875,-0.04419804349412469,-0.044198043494124706,105114.52437388735
2021-01-12,104657.93576246241,109975.21365006875,-0.048349784566233615,-0.004343725228693196,104657.93576246241
2021-01-13,106692.37566364222,109975.21365006875,-0.029850707968362995,0.01943894542117941,106692.37566364222
2021-01-14,105068.28610124135,109975.21365006875,-0.044618486165808255,-0.015222170771798771,105068.28610124135
2021-01-15,102513.68106612947,109975.21365006875,-0.06784740248544732,-0.02431375945973191,102513.68106612947
2021-01-19,106958.23470754572,109975.21365006875,-0.027433262845233314,0.043355712088313014,106958.23470754572
2021-01-20,114413.99081454753,114413.99081454753,0.0,0.0697071724060141,114413.99081454753
2021-01-21,117257.57843941028,117257.57843941028,0.0,0.024853495666206538,117257.57843941028
2021-01-22,116194.11580665,117257.57843941028,-0.009069457572926005,-0.009069457572925987,116194.11580665
